=== 처리 요약 ===
성공: 107건
실패: 0건
모호한 매칭: 2건

=== 모호한 매칭 (둘 이상 가까운 결과) ===
- DAYLONG COFFEE:
    · 데이롱카페 광운대점 | 서울 노원구 광운로12길 38 | 314m
[FRONT_GATE] 화로상회                 → 화로상회 광운대점                      | 187m | 한식
[FRONT_GATE] 부리또잇                 → 부리또잇                           | 187m | 양식
[FRONT_GATE] 재리스토스트&빙수바보빙식이 광운대점  → 재리스토스트&빙수바보빙식이 광운대점            | 198m | 카페
[FRONT_GATE] 신연마라탕                → 신연마라탕                          | 179m | 중식
[FRONT_GATE] 민들레뜨락2               → 민들레뜨락2                         | 166m | 한식
[FRONT_GATE] 푸른스시                 → 푸른스시                           | 169m | 일식
[FRONT_GATE] 일심텐동                 → 일심텐동 광운대점                      | 155m | 일식
[FRONT_GATE] 디델리라볶이               → 디델리 광운대점                       | 155m | 분식
[FRONT_GATE] 마루덮밥                 → 마루                             | 152m | 일식
[FRONT_GATE] 윤스쿡                  → 윤스쿡                            | 143m | 한식
[FRONT_GATE] 한끼철판                 → 한끼철판 광운대점                      | 136m | 일식
[FRONT_GATE] 장수국수                 → 장수국수 광운대점                      | 138m | 한식
[FRONT_GATE] 지지고                  → 지지고 광운대점                       | 134m | 한식
[FRONT_GATE] 광운커피                 → 광운커피                           | 128m | 카페
[FRONT_GATE] 프랭크버거                → 프랭크버거 광운대점                     | 128m | 양식
[FRONT_GATE] 팔팔부대찌개               → 팔팔전어횟집                         | 124m | 한식
[FRONT_GATE] 카츠백                  → 카츠백 월계점                        | 252m | 일식
[FRONT_GATE] 민들레국시                → 민들레국시                          | 252m | 한식
[FRONT_GATE] 중화 호반 닭갈비 막국수        → 중화호반닭갈비 광운대점                   | 374m | 한식
[FRONT_GATE] 전주밥상                 → 전주밥상쌈밥                         | 432m | 한식
[FRONT_GATE] 꽁꽁 삼겹살 차돌박이          → 꽁꽁삼겹살차돌박이 석계2호점                | 566m | 한식
[FRONT_GATE] 또와집순대국               → 또와집순대국                         | 467m | 한식
[BACK_GATE] 튀맥                   → 튀맥                             | 432m | 튀김류
[BACK_GATE] 서선생김치찜               → 서선생김치찜                         | 398m | 한식
[BACK_GATE] 한라산 감자탕              → 한라산감자탕                         | 409m | 한식
[BACK_GATE] 국수천왕                 → 국수천왕 광운대점                      | 350m | 한식
[BACK_GATE] 한그릇                  → 한그릇                            | 315m | 한식
[BACK_GATE] DAYLONG COFFEE       → 데이롱카페 광운대점                     | 314m | 카페
[BACK_GATE] 별난주점                 → 별난주점 광운대점                      | 274m | 주점
[BACK_GATE] 꽃제비칼국수               → 꽃제비칼국수                         | 258m | 한식
[BACK_GATE] 밥은화                  → 밥은화 광운대본점                      | 252m | 한식
[BACK_GATE] 하이레                  → 하이레                            | 210m | 한식
[BACK_GATE] 아, 그집                → 아 그집                           | 285m | 한식
[BACK_GATE] CORD.jr              → CORD Jr.                       | 285m | 한식
[BACK_GATE] 치킨플러스                → 치킨플러스 월계점                      | 259m | 양식
[BACK_GATE] 후문식당                 → 후문식당                           | 239m | 한식
[BACK_GATE] 천년초칼국수               → 천년초우리밀칼국수                      | 366m | 한식
[BACK_GATE] 월계돈                  → 월계돈                            | 364m | 한식
[BACK_GATE] 일심해장국                → 일심해장국 월계점                      | 406m | 한식
[BACK_GATE] 볼카츠마켙                → 김바삭군의 볼카츠마켙 광운대점               | 118m | 일식
[BACK_GATE] 카페베르데                → 카페베르데                          | 124m | 카페
[BACK_GATE] 이층집                  → 이층집                            | 136m | 한식
[BACK_GATE] 병천순대                 → 병천청년순대 광운대점                    | 135m | 한식
[BACK_GATE] 경대컵밥                 → 경대컵밥 광운대점                      | 172m | 분식
[BACK_GATE] 소담밥상                 → 소담밥상                           | 135m | 한식
[BACK_GATE] 쉐프밥버거                → 쉐프밥버거 광운대점                     | 119m | 양식
[BACK_GATE] 미식성                  → 미식성                            | 156m | 한식
[BACK_GATE] 빠말                   → 빠말                             | 161m | 한식
[BACK_GATE] 스시덤                  → 스시덤                            | 177m | 일식
[BACK_GATE] 1일1잔                 → 1일1잔                           | 178m | 주점
[BACK_GATE] 이찌마 김치               → 이찌마 김치                         | 172m | 한식
[BACK_GATE] 목포홍탁                 → 목포홍탁                           | 185m | 한식
[BACK_GATE] 갤러리eat               → 갤러리eat                         | 239m | 한식
[BACK_GATE] 진심카츠                 → 진심카츠                           | 140m | 일식
[KWANGWOON_STATION] 와플대학                 → 와플대학 광운대캠퍼스                    | 428m | 카페
[BACK_GATE] 청계 빨간집               → 청계 빨간집                         | manualm | 한식
[BACK_GATE] 우우즈베이커리              → 우우즈베이커리                        | manualm | 카페
[KWANGWOON_STATION] 정담소반                 → 정담소반                           | manualm | 한식
[BACK_GATE] 포 레오                 → 포 레오                           | manualm | 아시안
[BACK_GATE] 용기사 식당               → 용기사 식당                         | manualm | 한식
